JacksonCore_19 | UTF8StreamJsonParser_21.java | OCHIAI: -1.0
JacksonCore_19 | UTF8StreamJsonParser_5.java | OCHIAI: -1.0
JacksonCore_19 | UTF8StreamJsonParser_15.java | OCHIAI: -1.0
JacksonCore_19 | UTF8StreamJsonParser_4.java | OCHIAI: -1.0
JacksonCore_19 | UTF8StreamJsonParser_3.java | OCHIAI: -1.0
JacksonCore_19 | UTF8StreamJsonParser_11.java | OCHIAI: -1.0
JacksonCore_19 | UTF8StreamJsonParser_8.java | OCHIAI: -1.0
JacksonCore_19 | UTF8StreamJsonParser_9.java | OCHIAI: -1.0
JacksonDatabind_64 | PropertyBuilder_1.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_37.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_2.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_16.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_79.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_22.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_44.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_59.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_84.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_58.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_68.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_33.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_67.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_7.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_71.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_57.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_21.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_8.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_27.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_64.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_83.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_55.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_31.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_69.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_51.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_54.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_45.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_9.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_14.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_82.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_5.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_30.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_15.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_43.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_20.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_56.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_34.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_23.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_42.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_39.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_41.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_49.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_28.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_86.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_13.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_12.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_10.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_4.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_17.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_74.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_25.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_11.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_6.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_24.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_78.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_85.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_66.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_62.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_1.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_76.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_77.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_29.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_60.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_26.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_65.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_36.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_81.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_72.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_73.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_70.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_35.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_63.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_40.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_19.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_47.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_61.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_80.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_75.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_50.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_52.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_38.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_32.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_3.java | OCHIAI: 0.0
Lang_35 | ArrayUtils_18.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_53.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_46.java | OCHIAI: -1.0
Lang_35 | ArrayUtils_48.java | OCHIAI: -1.0
Jsoup_28 | Parser_1.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_16.java | OCHIAI: 0.0
Jsoup_28 | Parser_11.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_18.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_19.java | OCHIAI: -1.0
Jsoup_28 | Parser_10.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_2.java | OCHIAI: 0.07302967433402215
Jsoup_28 | Parser_8.java | OCHIAI: -1.0
Jsoup_28 | Tokeniser_1.java | OCHIAI: 0.0
